AxisX,AxisY,AxisZ
-0.005259188,-0.005546526,-0.994793106
-0.012283214,-0.005246293,-0.999343408
-0.003646668,-0.002392133,-0.997240616
-0.011014282,-0.001417352,-0.994950145
0.000222598,-0.000906567,-1.009949288
-0.007949324,-0.001105422,-1.006486769
-0.015344268,-0.00418963,-1.00737155
-0.004775042,-0.005063034,-1.005046606
-0.01234178,-0.003889397,-0.996068569
-0.002541722,-0.003113471,-0.998194341
-0.008000081,0.000695974,-1.002227564
-0.005919033,0.004119406,-1.011902701
-0.014547769,-0.003398108,-1.006283767
-0.009065984,0.000532211,-1.002576114
-0.006075209,0.000231978,-0.998634817
-0.006379752,-0.003632055,-0.999086783
-0.025054525,-0.003261638,-1.001875183
0.002284124,-0.003916691,-0.998918253
-0.01490307,-0.003464393,-0.993720644
-0.011170458,0.000423035,-1.004023937
-0.017425316,-0.001491435,-1.013691414
-0.00468524,-0.006260066,-1.004671244
-0.010420812,-0.002423326,-0.99451733
-0.002697898,-0.003862104,-0.999335747
-0.011236833,-0.007460996,-0.997232956
-0.004017587,-0.007000899,-0.997493411
-0.010139695,-0.001725383,-1.001419387
-0.006071304,-0.000594637,-1.001511312
-0.000152225,0.004135002,-1.001706654
-0.020408282,-0.003866003,-1.007183869
0.001507147,-0.00512542,-1.009164093
-0.022270684,-0.006088504,-1.000898477
-0.003658382,-0.009051839,-0.991066301
-0.01703878,-0.006915119,-0.996972501
-0.003357742,-0.00374513,-0.995762151
-0.013138279,-0.001846256,-0.980307212
-0.001225937,-0.001007944,-0.998749723
-0.024796834,-0.004696516,-1.004452922
-0.004060535,-0.007188057,-1.001863693
-0.019498556,-0.00517221,-0.996643102
-0.011041613,-0.006575895,-1.005732215
-0.004201094,-0.007234847,-1.003303856
-0.002994633,-0.009445651,-0.990771374
-0.005926841,-0.001312076,-0.997232956
-0.007102068,-0.002657274,-0.995681717
-0.012626802,-0.003538476,-0.996386477
-0.017050493,-0.005605012,-1.002629737
-0.000577806,-0.000181329,-1.001748786
-0.024129181,-0.003132967,-1.001733465
-0.006797524,-0.009336475,-0.995490206
-0.015313033,-0.006295158,-1.001453859
0.003369549,-0.005846758,-1.002277356
-0.018499028,-0.006860531,-0.990748393
-0.005997121,-0.006681171,-0.996014946
-0.023512285,-0.005644004,-0.999082953
-0.000659798,-0.008923168,-1.000699306
-0.01960007,-0.001896944,-0.99417644
-0.002697898,0.000797351,-1.003847747
-0.010249019,-0.003097875,-0.995758321
-0.011494524,-0.006100201,-0.99747426
-0.002818934,-0.005012345,-0.989752535
-0.008031316,-0.005238495,-0.998313078
-0.012853257,-0.006544702,-1.005950538
-0.017093442,-0.007406408,-1.0054641
0.000679413,-0.001121018,-0.993770437
-0.020330194,-0.000649224,-0.997773017
-0.01247453,-0.004111648,-0.999297445
-0.006516407,-0.001503133,-0.997604487
-0.001952156,4.09E-05,-1.001254688
-0.025511341,-0.007332325,-1.004996813
0.006571161,-0.005031841,-0.994509669
-0.015613672,-0.001822861,-0.99799517
-0.010049894,-0.000887071,-1.009784589
-0.011435958,-0.000454268,-1.002265866
-0.00308053,-0.003830911,-0.997386165
-0.019244769,-0.000832483,-0.995336997
-0.011830303,-0.002902919,-1.000699306
-0.002971206,-0.003713937,-0.993077167
0.005485737,-0.005164411,-0.996700555
-0.016105627,-0.002707962,-1.003403441
-0.020380951,-0.008595642,-1.005601988
